timestamp,cpu_idle_pct,ram_available_mb,disk_read_kbs,disk_write_kbs,net_rx_kbs,net_tx_kbs
2025-12-13T21:55:18,99.26,5245.41,0.00,7.94,0.12,0.06
2025-12-13T21:55:19,98.07,5244.11,2302.92,195.67,0.32,0.80
2025-12-13T21:55:20,98.08,5243.41,0.00,370.16,3.20,0.34
2025-12-13T21:55:21,98.56,5241.70,0.00,7.56,0.56,0.19
2025-12-13T21:55:22,98.80,5240.22,0.00,0.00,0.34,0.42
2025-12-13T21:55:23,98.80,5239.00,0.00,0.00,0.39,0.42
2025-12-13T21:55:27,97.85,5237.52,0.00,42.42,0.06,0.06
2025-12-13T21:55:28,98.34,5236.30,0.00,0.00,0.61,1.06
2025-12-13T21:55:29,98.56,5236.22,0.00,0.00,3.64,0.57
2025-12-13T21:55:30,98.08,5236.70,0.00,0.00,2.96,0.99
2025-12-13T21:55:31,98.79,5237.20,0.00,105.66,0.99,1.07
2025-12-13T21:55:32,98.08,5237.45,0.00,15.17,1.78,0.57
2025-12-13T21:55:33,97.84,5233.62,7.51,0.00,0.72,0.63
2025-12-13T21:55:34,98.79,5234.26,0.00,0.00,1.36,0.14
2025-12-13T21:55:35,98.79,5235.00,0.00,0.00,0.06,0.14
2025-12-13T21:55:36,98.08,5235.24,0.00,136.36,1.50,0.14
2025-12-13T21:55:37,98.79,5234.51,0.00,7.58,0.11,0.14
2025-12-13T21:55:38,98.56,5233.78,0.00,22.73,0.11,0.14
2025-12-13T21:55:39,98.79,5232.65,0.00,0.00,0.62,0.14
2025-12-13T21:55:40,98.56,5232.30,0.00,0.00,0.12,0.14
2025-12-13T21:55:42,98.55,5231.19,0.00,75.90,0.06,0.14
2025-12-13T21:55:43,98.80,5229.86,0.00,15.15,0.12,0.14
2025-12-13T21:55:44,98.55,5228.14,0.00,0.00,0.06,0.14
2025-12-13T21:55:45,98.80,5227.40,0.00,0.00,0.26,0.14
2025-12-13T21:55:46,98.55,5226.82,0.00,0.00,0.26,0.14
2025-12-13T21:55:47,98.79,5226.08,0.00,106.06,0.28,0.19
2025-12-13T21:55:48,98.79,5225.60,0.00,7.58,0.11,0.19
2025-12-13T21:55:49,98.80,5225.61,0.00,0.00,0.31,0.27
2025-12-13T21:55:50,98.55,5226.00,0.00,0.00,0.06,0.19
2025-12-13T21:55:51,75.73,5211.00,0.00,113.85,18.61,20.86
2025-12-13T21:55:52,97.34,5210.61,0.00,90.91,0.25,0.26
2025-12-13T21:55:53,98.31,5210.41,0.00,7.58,0.62,0.14
2025-12-13T21:55:54,98.56,5209.43,0.00,0.00,0.17,0.14
2025-12-13T21:55:55,97.83,5222.68,0.00,7.56,1.35,1.70
2025-12-13T21:55:56,98.55,5222.77,0.00,159.09,3.79,0.45
2025-12-13T21:55:57,97.82,5223.77,0.00,1522.73,0.63,0.14
2025-12-13T21:55:58,98.32,5223.63,0.00,15.14,0.63,0.13
